title,price,old_price,discount
Audífonos Aiwa Inalambrico Tactil In-ear Bluetooth 5.3 Twsd8,18.990,39.990,52.0
Termoventilador Sistema Seguridad Vfh300 Marca Somela,19.990,49.990,60.0
